Source,Target,Type,Label
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Ronan Harrington
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Tiago Forte
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Zak Stein
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Moritz Bierling
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Peter Limberg
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Joe Brewer
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Bonnitta Roy
ZION 2.0,Emerge: Making Sense of What's Next,undirected,Jordan Hall
ZION 2.0,Rebel Wisdom,undirected,Euvie Ivanova
ZION 2.0,Rebel Wisdom,undirected,Mike Gilliland
ZION 2.0,Rebel Wisdom,undirected,Jordan Hall
ZION 2.0,FUTURE FOSSILS,undirected,Zak Stein
ZION 2.0,Future Thinkers,undirected,Daniel Jeffries
ZION 2.0,Future Thinkers,undirected,Euvie Ivanova
ZION 2.0,Future Thinkers,undirected,Joe Brewer
ZION 2.0,Future Thinkers,undirected,Mike Gilliland
ZION 2.0,Future Thinkers,undirected,Jordan Hall
ZION 2.0,Voiceclub,undirected,Peter Limberg
ZION 2.0,Jim Rutt Show,undirected,Jordan Hall
ZION 2.0,Both/And,undirected,Euvie Ivanova
ZION 2.0,Both/And,undirected,Peter Limberg
ZION 2.0,Collective Insights,undirected,Zak Stein
ZION 2.0,Collective Insights,undirected,Jordan Hall
ZION 2.0,Lateral Conversations,undirected,Bonnitta Roy
ZION 2.0,Intellectual Explorers Podcast,undirected,Peter Limberg
ZION 2.0,Intellectual Explorers Podcast,undirected,Jordan Hall
ZION 2.0,The Side View,undirected,Bonnitta Roy
ZION 2.0,Infinite Conversations,undirected,Bonnitta Roy
Emerge: Making Sense of What's Next,Rebel Wisdom,undirected,David Fuller
Emerge: Making Sense of What's Next,Rebel Wisdom,undirected,John Vervaeke
Emerge: Making Sense of What's Next,Rebel Wisdom,undirected,Jordan Hall
Emerge: Making Sense of What's Next,Rebel Wisdom,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,Poststructuralist Tent Revival,undirected,Adam Robbert
Emerge: Making Sense of What's Next,The Astral Hustle,undirected,Vincent Horn
Emerge: Making Sense of What's Next,FUTURE FOSSILS,undirected,Zak Stein
Emerge: Making Sense of What's Next,FUTURE FOSSILS,undirected,Terry Patten
Emerge: Making Sense of What's Next,FUTURE FOSSILS,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,FUTURE FOSSILS,undirected,Jeremy D. Johnson
Emerge: Making Sense of What's Next,Future Thinkers,undirected,Joe Brewer
Emerge: Making Sense of What's Next,Future Thinkers,undirected,John Vervaeke
Emerge: Making Sense of What's Next,Future Thinkers,undirected,Scott Santens
Emerge: Making Sense of What's Next,Future Thinkers,undirected,Jordan Hall
Emerge: Making Sense of What's Next,Future Thinkers,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,The RegenNarration (formerly Rescope Radio),undirected,Nora Bateson
Emerge: Making Sense of What's Next,Voiceclub,undirected,Peter Limberg
Emerge: Making Sense of What's Next,Voiceclub,undirected,David Fuller
Emerge: Making Sense of What's Next,Voiceclub,undirected,John Vervaeke
Emerge: Making Sense of What's Next,Jim Rutt Show,undirected,Jordan Hall
Emerge: Making Sense of What's Next,Jim Rutt Show,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,Team Human,undirected,Jeremy Lent
Emerge: Making Sense of What's Next,Team Human,undirected,Gail Bradbrook
Emerge: Making Sense of What's Next,Team Human,undirected,Richard D. Bartlett
Emerge: Making Sense of What's Next,Team Human,undirected,Chris Dancy
Emerge: Making Sense of What's Next,Team Human,undirected,Nora Bateson
Emerge: Making Sense of What's Next,A New and Ancient Story: The Podcast,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,Both/And,undirected,Adam Robbert
Emerge: Making Sense of What's Next,Both/And,undirected,Vincent Horn
Emerge: Making Sense of What's Next,Both/And,undirected,Peter Limberg
Emerge: Making Sense of What's Next,Both/And,undirected,Jared Janes
Emerge: Making Sense of What's Next,Both/And,undirected,Jason Snyder
Emerge: Making Sense of What's Next,Collective Insights,undirected,Zak Stein
Emerge: Making Sense of What's Next,Collective Insights,undirected,Jordan Hall
Emerge: Making Sense of What's Next,Collective Insights,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,Deconstructing Yourself,undirected,Vincent Horn
Emerge: Making Sense of What's Next,Deconstructing Yourself,undirected,Douglas Tataryn
Emerge: Making Sense of What's Next,Deconstructing Yourself,undirected,Rob Burbea
Emerge: Making Sense of What's Next,The HighExistence Podcast,undirected,Vinay Gupta
Emerge: Making Sense of What's Next,The HighExistence Podcast,undirected,Daniel Schmachtenberger
Emerge: Making Sense of What's Next,Mutations,undirected,Jeremy D. Johnson
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Nick Jankel
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Max Borders
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Bonnitta Roy
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Hanzi Freinacht
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Terry Patten
Emerge: Making Sense of What's Next,Lateral Conversations,undirected,Jeremy D. Johnson
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,Peter Limberg
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,Richard D. Bartlett
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,Daniel Thorson
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,John Vervaeke
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,Jordan Hall
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,Jason Snyder
Emerge: Making Sense of What's Next,Intellectual Explorers Podcast,undirected,James Surwillo
Emerge: Making Sense of What's Next,The Soulspace Podcast,undirected,John Vervaeke
Emerge: Making Sense of What's Next,The Side View,undirected,Bonnitta Roy
Emerge: Making Sense of What's Next,The Side View,undirected,Jeremy D. Johnson
Emerge: Making Sense of What's Next,Infinite Conversations,undirected,Bonnitta Roy
Emerge: Making Sense of What's Next,Infinite Conversations,undirected,Jeremy D. Johnson
Rebel Wisdom,FUTURE FOSSILS,undirected,Daniel Schmachtenberger
Rebel Wisdom,Future Thinkers,undirected,Jamie Wheal
Rebel Wisdom,Future Thinkers,undirected,Euvie Ivanova
Rebel Wisdom,Future Thinkers,undirected,John Vervaeke
Rebel Wisdom,Future Thinkers,undirected,Mike Gilliland
Rebel Wisdom,Future Thinkers,undirected,Jordan Hall
Rebel Wisdom,Future Thinkers,undirected,Daniel Schmachtenberger
Rebel Wisdom,Future Thinkers,undirected,Jordan Peterson
Rebel Wisdom,Voiceclub,undirected,Gabor Maté
Rebel Wisdom,Voiceclub,undirected,David Fuller
Rebel Wisdom,Voiceclub,undirected,John Vervaeke
Rebel Wisdom,Jim Rutt Show,undirected,Jordan Hall
Rebel Wisdom,Jim Rutt Show,undirected,Daniel Schmachtenberger
Rebel Wisdom,A New and Ancient Story: The Podcast,undirected,Daniel Schmachtenberger
Rebel Wisdom,Both/And,undirected,Euvie Ivanova
Rebel Wisdom,Collective Insights,undirected,Jamie Wheal
Rebel Wisdom,Collective Insights,undirected,Jordan Hall
Rebel Wisdom,Collective Insights,undirected,Ken Wilber
Rebel Wisdom,Collective Insights,undirected,Daniel Schmachtenberger
Rebel Wisdom,The HighExistence Podcast,undirected,Daniel Schmachtenberger
Rebel Wisdom,Lateral Conversations,undirected,Ken Wilber
Rebel Wisdom,Lateral Conversations,undirected,Jordan Peterson
Rebel Wisdom,Intellectual Explorers Podcast,undirected,John Vervaeke
Rebel Wisdom,Intellectual Explorers Podcast,undirected,Jordan Hall
Rebel Wisdom,Intellectual Explorers Podcast,undirected,Bret Weinstein
Rebel Wisdom,The Soulspace Podcast,undirected,John Vervaeke
Poststructuralist Tent Revival,Both/And,undirected,Adam Robbert
Poststructuralist Tent Revival,Both/And,undirected,David Collins
Poststructuralist Tent Revival,The Side View,undirected,Jacob Given
Poststructuralist Tent Revival,The Side View,undirected,David Collins
The Astral Hustle,Long Now: Conversations at The Interval,undirected,Kevin Kelly
The Astral Hustle,FUTURE FOSSILS,undirected,David Krakauer
The Astral Hustle,FUTURE FOSSILS,undirected,Shane Mauss
The Astral Hustle,FUTURE FOSSILS,undirected,Michael Garfield
The Astral Hustle,FUTURE FOSSILS,undirected,Ramin Nazer
The Astral Hustle,FUTURE FOSSILS,undirected,Bruce Damer
The Astral Hustle,FUTURE FOSSILS,undirected,Charles Eisenstein
The Astral Hustle,FUTURE FOSSILS,undirected,Mitch Schultz
The Astral Hustle,FUTURE FOSSILS,undirected,Erick Godsey
The Astral Hustle,Future Thinkers,undirected,Charles Eisenstein
The Astral Hustle,Future Thinkers,undirected,Kevin Kelly
The Astral Hustle,Future Thinkers,undirected,Duncan Trussell
The Astral Hustle,Voiceclub,undirected,Erick Godsey
The Astral Hustle,Team Human,undirected,Zach Leary
The Astral Hustle,A New and Ancient Story: The Podcast,undirected,Charles Eisenstein
The Astral Hustle,Both/And,undirected,Vincent Horn
The Astral Hustle,Collective Insights,undirected,Charles Eisenstein
The Astral Hustle,Deconstructing Yourself,undirected,Judson Brewer
The Astral Hustle,Deconstructing Yourself,undirected,Culadasa
The Astral Hustle,Deconstructing Yourself,undirected,Shinzen Young
The Astral Hustle,Deconstructing Yourself,undirected,Roshi Joan Halifax
The Astral Hustle,Deconstructing Yourself,undirected,Rick Hanson
The Astral Hustle,Deconstructing Yourself,undirected,Vincent Horn
The Astral Hustle,Deconstructing Yourself,undirected,Evan Thompson
The Astral Hustle,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,Evan Thompson
The Astral Hustle,The Jolly Swagman Podcast,undirected,Ryan Holiday
The Astral Hustle,The Jolly Swagman Podcast,undirected,William MacAskill
The Astral Hustle,Mutations,undirected,Michael Garfield
The Astral Hustle,Lateral Conversations,undirected,Zach Leary
The Astral Hustle,The Soulspace Podcast,undirected,Jeff Warren
The Astral Hustle,The Soulspace Podcast,undirected,Shinzen Young
The Astral Hustle,The Soulspace Podcast,undirected,Alexandre Tannous
The Astral Hustle,New Thinking Allowed,undirected,Bruce Damer
Long Now: Conversations at The Interval,Future Thinkers,undirected,Kevin Kelly
FUTURE FOSSILS,Future Thinkers,undirected,Charles Eisenstein
FUTURE FOSSILS,Future Thinkers,undirected,Daniel Schmachtenberger
FUTURE FOSSILS,Voiceclub,undirected,Erick Godsey
FUTURE FOSSILS,Jim Rutt Show,undirected,Daniel Schmachtenberger
FUTURE FOSSILS,Team Human,undirected,Erik Davis
FUTURE FOSSILS,Team Human,undirected,Jon Lebkowsky
FUTURE FOSSILS,A New and Ancient Story: The Podcast,undirected,Charles Eisenstein
FUTURE FOSSILS,A New and Ancient Story: The Podcast,undirected,Daniel Schmachtenberger
FUTURE FOSSILS,A New and Ancient Story: The Podcast,undirected,Joanna Harcourt-Smith
FUTURE FOSSILS,Both/And,undirected,Erik Davis
FUTURE FOSSILS,RuneSoup,undirected,Eric Wargo
FUTURE FOSSILS,RuneSoup,undirected,Becca Tarnas
FUTURE FOSSILS,Collective Insights,undirected,Zak Stein
FUTURE FOSSILS,Collective Insights,undirected,Charles Eisenstein
FUTURE FOSSILS,Collective Insights,undirected,Daniel Schmachtenberger
FUTURE FOSSILS,Deconstructing Yourself,undirected,Erik Davis
FUTURE FOSSILS,The HighExistence Podcast,undirected,Dennis McKenna
FUTURE FOSSILS,The HighExistence Podcast,undirected,Daniel Schmachtenberger
FUTURE FOSSILS,Mutations,undirected,Michael Garfield
FUTURE FOSSILS,Mutations,undirected,J. F. Martel
FUTURE FOSSILS,Mutations,undirected,Becca Tarnas
FUTURE FOSSILS,Mutations,undirected,Jeremy D. Johnson
FUTURE FOSSILS,Lateral Conversations,undirected,Terry Patten
FUTURE FOSSILS,Lateral Conversations,undirected,Jeremy D. Johnson
FUTURE FOSSILS,The Side View,undirected,Erik Davis
FUTURE FOSSILS,The Side View,undirected,Jeremy D. Johnson
FUTURE FOSSILS,New Thinking Allowed,undirected,Bruce Damer
FUTURE FOSSILS,New Thinking Allowed,undirected,Joanna Harcourt-Smith
FUTURE FOSSILS,Infinite Conversations,undirected,J. F. Martel
FUTURE FOSSILS,Infinite Conversations,undirected,Jeremy D. Johnson
Future Thinkers,The RegenNarration (formerly Rescope Radio),undirected,Douglas Rushkoff
Future Thinkers,Voiceclub,undirected,John Vervaeke
Future Thinkers,Jim Rutt Show,undirected,Robin Hanson
Future Thinkers,Jim Rutt Show,undirected,Jordan Hall
Future Thinkers,Jim Rutt Show,undirected,Daniel Schmachtenberger
Future Thinkers,Jim Rutt Show,undirected,Douglas Rushkoff
Future Thinkers,Team Human,undirected,Rupert Sheldrake
Future Thinkers,Team Human,undirected,Pia Mancini
Future Thinkers,Team Human,undirected,Amber Case
Future Thinkers,Team Human,undirected,Douglas Rushkoff
Future Thinkers,A New and Ancient Story: The Podcast,undirected,Rupert Sheldrake
Future Thinkers,A New and Ancient Story: The Podcast,undirected,Charles Eisenstein
Future Thinkers,A New and Ancient Story: The Podcast,undirected,Daniel Schmachtenberger
Future Thinkers,Both/And,undirected,Euvie Ivanova
Future Thinkers,RuneSoup,undirected,Rupert Sheldrake
Future Thinkers,RuneSoup,undirected,Dean Radin
Future Thinkers,Collective Insights,undirected,Jamie Wheal
Future Thinkers,Collective Insights,undirected,Charles Eisenstein
Future Thinkers,Collective Insights,undirected,Jordan Hall
Future Thinkers,Collective Insights,undirected,Daniel Schmachtenberger
Future Thinkers,Deconstructing Yourself,undirected,Michael Taft
Future Thinkers,The HighExistence Podcast,undirected,Daniel Schmachtenberger
Future Thinkers,Lateral Conversations,undirected,Dean Radin
Future Thinkers,Lateral Conversations,undirected,Jordan Peterson
Future Thinkers,Intellectual Explorers Podcast,undirected,John Vervaeke
Future Thinkers,Intellectual Explorers Podcast,undirected,Jordan Hall
Future Thinkers,The Soulspace Podcast,undirected,John Vervaeke
Future Thinkers,New Thinking Allowed,undirected,Dean Radin
Future Thinkers,neonosis,undirected,Dean Radin
The RegenNarration (formerly Rescope Radio),Jim Rutt Show,undirected,Douglas Rushkoff
The RegenNarration (formerly Rescope Radio),Team Human,undirected,Douglas Rushkoff
The RegenNarration (formerly Rescope Radio),Team Human,undirected,Richard Heinberg
The RegenNarration (formerly Rescope Radio),Team Human,undirected,Nora Bateson
Voiceclub,Both/And,undirected,Peter Limberg
Voiceclub,The HighExistence Podcast,undirected,Peter Sjöstedt-H
Voiceclub,The HighExistence Podcast,undirected,Rick Doblin
Voiceclub,Intellectual Explorers Podcast,undirected,Peter Limberg
Voiceclub,Intellectual Explorers Podcast,undirected,John Vervaeke
Voiceclub,The Soulspace Podcast,undirected,John Vervaeke
Voiceclub,The Side View,undirected,Peter Sjöstedt-H
Voiceclub,neonosis,undirected,Peter Sjöstedt-H
Jim Rutt Show,Team Human,undirected,Cory Doctorow
Jim Rutt Show,Team Human,undirected,Douglas Rushkoff
Jim Rutt Show,A New and Ancient Story: The Podcast,undirected,Daniel Schmachtenberger
Jim Rutt Show,Collective Insights,undirected,Jordan Hall
Jim Rutt Show,Collective Insights,undirected,Daniel Schmachtenberger
Jim Rutt Show,The HighExistence Podcast,undirected,Daniel Schmachtenberger
Jim Rutt Show,Intellectual Explorers Podcast,undirected,Jordan Hall
Jim Rutt Show,The Side View,undirected,Joe Norman
Team Human,A New and Ancient Story: The Podcast,undirected,Rupert Sheldrake
Team Human,Both/And,undirected,Erik Davis
Team Human,RuneSoup,undirected,Charles Hugh Smith
Team Human,RuneSoup,undirected,Mitch Horowitz
Team Human,RuneSoup,undirected,Rupert Sheldrake
Team Human,RuneSoup,undirected,Jason Louv
Team Human,RuneSoup,undirected,Kenric McDowell
Team Human,Deconstructing Yourself,undirected,Erik Davis
Team Human,Lateral Conversations,undirected,Mitch Horowitz
Team Human,Lateral Conversations,undirected,Zach Leary
Team Human,Intellectual Explorers Podcast,undirected,Richard D. Bartlett
Team Human,The Side View,undirected,Erik Davis
A New and Ancient Story: The Podcast,RuneSoup,undirected,Rupert Sheldrake
A New and Ancient Story: The Podcast,Collective Insights,undirected,Charles Eisenstein
A New and Ancient Story: The Podcast,Collective Insights,undirected,Daniel Schmachtenberger
A New and Ancient Story: The Podcast,The HighExistence Podcast,undirected,Daniel Schmachtenberger
A New and Ancient Story: The Podcast,New Thinking Allowed,undirected,Joanna Harcourt-Smith
Both/And,Deconstructing Yourself,undirected,Vincent Horn
Both/And,Deconstructing Yourself,undirected,Erik Davis
Both/And,Intellectual Explorers Podcast,undirected,Conor Barnes
Both/And,Intellectual Explorers Podcast,undirected,Jason Snyder
Both/And,Intellectual Explorers Podcast,undirected,Peter Limberg
Both/And,The Side View,undirected,David Collins
Both/And,The Side View,undirected,Erik Davis
RuneSoup,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,Ben Joffe
RuneSoup,Mutations,undirected,Becca Tarnas
RuneSoup,Lateral Conversations,undirected,Mitch Horowitz
RuneSoup,Lateral Conversations,undirected,Dean Radin
RuneSoup,Lateral Conversations,undirected,Tobias Churton
RuneSoup,New Thinking Allowed,undirected,Elizabeth Krohn
RuneSoup,New Thinking Allowed,undirected,Gary Lachman
RuneSoup,New Thinking Allowed,undirected,Dean Radin
RuneSoup,New Thinking Allowed,undirected,Jeffrey Kripal
RuneSoup,neonosis,undirected,Dean Radin
Collective Insights,The HighExistence Podcast,undirected,Daniel Schmachtenberger
Collective Insights,Lateral Conversations,undirected,Ken Wilber
Collective Insights,Intellectual Explorers Podcast,undirected,Jordan Hall
Collective Insights,neonosis,undirected,Andrew Hill
Collective Insights,neonosis,undirected,Dustin DiPerna
Deconstructing Yourself,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,Jayarava
Deconstructing Yourself,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,Evan Thompson
Deconstructing Yourself,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,David Chapman
Deconstructing Yourself,Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,undirected,Daniel Ingram
Deconstructing Yourself,The Soulspace Podcast,undirected,Shinzen Young
Deconstructing Yourself,The Side View,undirected,Erik Davis
Post-Traditional Buddhism Podcast / The Imperfect Buddha Podcast,Intellectual Explorers Podcast,undirected,Glenn Wallis
The HighExistence Podcast,Intellectual Explorers Podcast,undirected,Donald Robertson
The HighExistence Podcast,The Side View,undirected,Peter Sjöstedt-H
The HighExistence Podcast,neonosis,undirected,Peter Sjöstedt-H
Mutations,Lateral Conversations,undirected,Jeremy D. Johnson
Mutations,The Side View,undirected,Matthew T. Segall
Mutations,The Side View,undirected,Jeremy D. Johnson
Mutations,neonosis,undirected,Matthew T. Segall
Mutations,Infinite Conversations,undirected,J. F. Martel
Mutations,Infinite Conversations,undirected,Jeremy D. Johnson
Lateral Conversations,The Side View,undirected,Bonnitta Roy
Lateral Conversations,The Side View,undirected,Jeremy D. Johnson
Lateral Conversations,New Thinking Allowed,undirected,Dean Radin
Lateral Conversations,neonosis,undirected,Dean Radin
Lateral Conversations,Infinite Conversations,undirected,Bonnitta Roy
Lateral Conversations,Infinite Conversations,undirected,Jeremy D. Johnson
Intellectual Explorers Podcast,The Soulspace Podcast,undirected,John Vervaeke
Intellectual Explorers Podcast,The Soulspace Podcast,undirected,Jonathan Pageau
Intellectual Explorers Podcast,Circling Wizardry Podcast,undirected,Guy Sengstock
The Soulspace Podcast,New Thinking Allowed,undirected,Jorge Ferrer
The Side View,neonosis,undirected,Peter Sjöstedt-H
The Side View,neonosis,undirected,Matthew T. Segall
The Side View,Infinite Conversations,undirected,Jeremy D. Johnson
The Side View,Infinite Conversations,undirected,Bonnitta Roy
New Thinking Allowed,neonosis,undirected,Dean Radin
